Person Name,Role,Company Name,Classification,Interest Areas,url
Lori Browning,"Banking Officer,Sr.Sales Assoc","Wilmington Trust, N.A.",Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwODg=
"
Taylor Kern,Associate,King & Spalding,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwODY=
"
Patrick Drennan,Director,BNY Mellon,Issuer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwODE=
"
Hector Herrera,"Director, Head of Corporate Trust Business Development for the Americas",BNY Mellon,Issuer,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNzM=
"
Andrea Itri,"Managing Director, Structured Credit Solutions",Great Lakes | Munich Re,Investor,"CLOs/Leveraged Loans, ABS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNzI=
"
Matt Boyer,Director,Citi,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNTg=
"
Steve Kolyer,Partner,Sidley Austin,Service Provider,"CLOs/Leveraged Loans, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNTc=
"
Adam Gelder,"Head of Relationship Management, Corporate Trust",BNY Mellon,Issuer,"CLOs/Leveraged Loans, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNTY=
"
Martin Eid,Partner,King & Spalding LLP,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNDU=
"
Kathryn Weiss,Partner,King & Spalding LLP,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNDQ=
"
Ketan Parekh,"Managing Director, Head of Capital Markets and Lender Relations",Toorak,Issuer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNDM=
"
David Ridenour,Partner,King & Spalding,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNDI=
"
Dale Lum,Partner,Sidley Austin LLP,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwNDE=
"
Jonathan Arkins,Partner,King & Spalding LLP,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMzQ=
"
Scott Brody,Securitized Credit,ArrowMark Partners,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMzM=
"
Daniel Hall,"Senior Director, RMBS",KBRA,Service Provider,"RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMzI=
"
Warren Dehler,Principal,Blackstone,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMzA=
"
