Prepayment Date,Prepayment Type,Prepayment Amount,Number of Loans,Amount Not Applied,Prepayment Status,Reversed Date,Reversed Amount,Number of Reversed Loans,Pool Number,holder
3/25/2024,Prepayment,"$2,698,265.10 ",1,$0.00 ,,,$0.00 ,0,530116
5/25/2024,Prepayment,"$295,079.03 ",1,$0.00 ,,,$0.00 ,0,530116
6/25/2024,Prepayment,"$106,291.13 ",1,$0.00 ,,,$0.00 ,0,530116
9/25/2024,Prepayment,"$115,983.08 ",1,$0.00 ,,,$0.00 ,0,530116
11/25/2024,Prepayment,"$537,620.67 ",1,$0.00 ,,,$0.00 ,0,530116
9/25/2022,Prepayment,"$96,767.22 ",1,$0.00 ,,,$0.00 ,0,530135
9/25/2022,Principal Reduction,"$24,650.00 ",0,$0.00 ,,,$0.00 ,0,530135
10/25/2022,Prepayment,"$127,572.63 ",1,$0.00 ,,,$0.00 ,0,530135
1/25/2023,Prepayment,"$124,744.34 ",1,$0.00 ,,,$0.00 ,0,530135
2/25/2023,Prepayment,"$117,681.40 ",1,$0.00 ,,,$0.00 ,0,530135
3/25/2023,Prepayment,"$116,853.55 ",1,$0.00 ,,,$0.00 ,0,530135
3/25/2023,Principal Reduction,"$50,307.33 ",0,$0.00 ,,,$0.00 ,0,530135
4/25/2023,Prepayment,"$734,521.51 ",1,$0.00 ,,,$0.00 ,0,530135
5/25/2023,Prepayment,"$1,903,872.05 ",1,$0.00 ,,,$0.00 ,0,530135
7/25/2023,Principal Reduction,"$44,250.00 ",0,$0.00 ,,,$0.00 ,0,530135
8/25/2023,Prepayment,"$350,204.68 ",3,$0.00 ,,,$0.00 ,0,530135
8/25/2023,Principal Reduction,"$187,500.00 ",0,$0.00 ,,,$0.00 ,0,530135
9/25/2023,Prepayment,"$340,841.26 ",3,$0.00 ,,,$0.00 ,0,530135
9/25/2023,Principal Reduction,"$54,000.01 ",0,$0.00 ,,,$0.00 ,0,530135
11/25/2023,Prepayment,"$4,189,210.15 ",2,$0.00 ,,,$0.00 ,0,530135
11/25/2023,Principal Reduction,"$79,242.96 ",0,$0.00 ,,,$0.00 ,0,530135
1/25/2024,Prepayment,"$538,379.06 ",5,$0.00 ,,,$0.00 ,0,530135
2/25/2024,Prepayment,"$89,820.63 ",1,$0.00 ,,,$0.00 ,0,530135
2/25/2024,Principal Reduction,"$275,535.75 ",0,$0.00 ,,,$0.00 ,0,530135
3/25/2024,Prepayment,"$112,477.43 ",1,$0.00 ,,,$0.00 ,0,530135
4/25/2024,Prepayment,"$329,459.70 ",3,$0.00 ,,,$0.00 ,0,530135
4/25/2024,Principal Reduction,"$12,750.01 ",0,$0.00 ,,,$0.00 ,0,530135
5/25/2024,Prepayment,"$215,382.28 ",2,$0.00 ,,,$0.00 ,0,530135
6/25/2024,Prepayment,"$847,347.64 ",4,$0.00 ,,,$0.00 ,0,530135
8/25/2024,Prepayment,"$644,106.26 ",1,$0.00 ,,,$0.00 ,0,530135
8/25/2024,Principal Reduction,"$12,231.00 ",0,$0.00 ,,,$0.00 ,0,530135
9/25/2024,Principal Reduction,"$23,364.00 ",0,$0.00 ,,,$0.00 ,0,530135
10/25/2024,Prepayment,"$144,745.25 ",2,$0.00 ,,,$0.00 ,0,530135
11/25/2024,Prepayment,"$1,148,906.03 ",5,$0.00 ,,,$0.00 ,0,530135
6/25/2023,Prepayment,"$3,584,489.16 ",1,$0.00 ,,,$0.00 ,0,530154
8/25/2023,Prepayment,"$2,171,641.51 ",1,$0.00 ,,,$0.00 ,0,530154
9/25/2023,Prepayment,"$1,573,997.19 ",1,$0.00 ,,,$0.00 ,0,530154
10/25/2023,Prepayment,"$3,103,733.82 ",2,$0.00 ,,,$0.00 ,0,530154
11/25/2023,Prepayment,"$742,995.92 ",1,$0.00 ,,,$0.00 ,0,530154
12/25/2023,Prepayment,"$2,501,663.30 ",1,$0.00 ,,,$0.00 ,0,530154
2/25/2024,Prepayment,"$3,602,439.99 ",1,$0.00 ,,,$0.00 ,0,530154
3/25/2024,Prepayment,"$3,280,641.19 ",3,$0.00 ,,,$0.00 ,0,530154
5/25/2024,Prepayment,"$1,510,919.37 ",1,$0.00 ,,,$0.00 ,0,530154
8/25/2024,Prepayment,"$500,138.05 ",1,$0.00 ,,,$0.00 ,0,530154
9/25/2024,Prepayment,"$5,446,326.25 ",2,$0.00 ,,,$0.00 ,0,530154
10/25/2022,Prepayment,"$1,309,328.79 ",1,$0.00 ,,,$0.00 ,0,530184
12/25/2022,Prepayment,"$731,549.56 ",1,$0.00 ,,,$0.00 ,0,530184
1/25/2023,Prepayment,"$2,268,983.72 ",2,$0.00 ,,,$0.00 ,0,530184
3/25/2023,Prepayment,"$1,192,564.16 ",1,$0.00 ,,,$0.00 ,0,530184
6/25/2023,Prepayment,"$555,928.42 ",1,$0.00 ,,,$0.00 ,0,530184
7/25/2023,Prepayment,"$630,693.00 ",1,$0.00 ,,,$0.00 ,0,530184
8/25/2023,Principal Reduction,"$639,976.08 ",0,$0.00 ,,,$0.00 ,0,530184
9/25/2023,Prepayment,"$345,215.35 ",1,$0.00 ,,,$0.00 ,0,530184
10/25/2023,Prepayment,"$1,455,180.82 ",2,$0.00 ,,,$0.00 ,0,530184
11/25/2023,Prepayment,"$834,805.38 ",1,$0.00 ,,,$0.00 ,0,530184
1/25/2024,Prepayment,"$6,720,955.35 ",5,$0.00 ,,,$0.00 ,0,530184
3/25/2024,Prepayment,"$183,416.57 ",1,$0.00 ,,,$0.00 ,0,530184
6/25/2024,Prepayment,"$341,859.44 ",1,$0.00 ,,,$0.00 ,0,530184
8/25/2024,Prepayment,"$784,897.20 ",1,$0.00 ,,,$0.00 ,0,530184
9/25/2024,Prepayment,"$1,676,095.51 ",2,$0.00 ,,,$0.00 ,0,530184
10/25/2024,Prepayment,"$4,119,648.03 ",3,$0.00 ,,,$0.00 ,0,530184
11/25/2024,Principal Reduction,"$1,119,788.76 ",0,$0.00 ,,,$0.00 ,0,530184
4/25/2023,Prepayment,"$560,104.74 ",1,$0.00 ,,,$0.00 ,0,530199
6/25/2023,Prepayment,"$1,226,392.58 ",1,$0.00 ,,,$0.00 ,0,530199
7/25/2023,Prepayment,"$740,450.41 ",1,$0.00 ,,,$0.00 ,0,530199
8/25/2023,Prepayment,"$1,083,016.82 ",1,$0.00 ,,,$0.00 ,0,530199
1/25/2024,Prepayment,"$1,334,774.61 ",1,$0.00 ,,,$0.00 ,0,530199
2/25/2024,Prepayment,"$595,887.46 ",1,$0.00 ,,,$0.00 ,0,530199
8/25/2024,Prepayment,"$636,166.90 ",1,$0.00 ,,,$0.00 ,0,530199
5/25/2023,Prepayment,"$6,407,457.02 ",2,$0.00 ,,,$0.00 ,0,530205
7/25/2023,Prepayment,"$503,045.97 ",1,$0.00 ,,,$0.00 ,0,530205
8/25/2023,Prepayment,"$2,137,917.81 ",1,$0.00 ,,,$0.00 ,0,530205
9/25/2023,Prepayment,"$1,642,618.60 ",3,$0.00 ,,,$0.00 ,0,530205
10/25/2023,Prepayment,"$491,328.24 ",1,$0.00 ,,,$0.00 ,0,530205
11/25/2023,Prepayment,"$2,437,233.54 ",2,$0.00 ,,,$0.00 ,0,530205
12/25/2023,Prepayment,"$1,737,251.28 ",1,$0.00 ,,,$0.00 ,0,530205
12/25/2023,Principal Reduction,"$452,754.69 ",0,$0.00 ,,,$0.00 ,0,530205
1/25/2024,Prepayment,"$493,921.84 ",1,$0.00 ,,,$0.00 ,0,530205
2/25/2024,Prepayment,"$2,791,511.68 ",3,$0.00 ,,,$0.00 ,0,530205
3/25/2024,Prepayment,"$628,170.27 ",1,$0.00 ,,,$0.00 ,0,530205
6/25/2024,Prepayment,"$1,670,184.30 ",1,$0.00 ,,,$0.00 ,0,530205
7/25/2024,Prepayment,"$1,122,299.09 ",1,$0.00 ,,,$0.00 ,0,530205
8/25/2024,Prepayment,"$2,908,018.28 ",1,$0.00 ,,,$0.00 ,0,530205
9/25/2024,Prepayment,"$3,571,302.34 ",2,$0.00 ,,,$0.00 ,0,530205
11/25/2024,Prepayment,"$3,044,314.64 ",1,$0.00 ,,,$0.00 ,0,530205
12/25/2022,Prepayment,"$2,348,781.08 ",1,$0.00 ,,,$0.00 ,0,530226
5/25/2023,Prepayment,"$2,681,571.25 ",1,$0.00 ,,,$0.00 ,0,530226
9/25/2023,Prepayment,"$404,324.03 ",1,$0.00 ,,,$0.00 ,0,530226
12/25/2023,Prepayment,"$4,536,328.08 ",2,$0.00 ,,,$0.00 ,0,530226
5/25/2024,Prepayment,"$4,234,703.47 ",2,$0.00 ,,,$0.00 ,0,530226
10/25/2024,Prepayment,"$3,812,430.01 ",2,$0.00 ,,,$0.00 ,0,530226
11/25/2024,Prepayment,"$3,578,646.50 ",1,$0.00 ,,,$0.00 ,0,530226
1/25/2023,Prepayment,"$2,777,543.02 ",1,$0.00 ,,,$0.00 ,0,530243
6/25/2023,Prepayment,"$3,287,600.17 ",1,$0.00 ,,,$0.00 ,0,530243
7/25/2023,Prepayment,"$3,697,202.67 ",1,$0.00 ,,,$0.00 ,0,530243
12/25/2023,Prepayment,"$4,334,366.67 ",2,$0.00 ,,,$0.00 ,0,530243
1/25/2024,Principal Reduction,"$626,271.68 ",0,$0.00 ,,,$0.00 ,0,530243
2/25/2024,Prepayment,"$2,869,340.53 ",1,$0.00 ,,,$0.00 ,0,530243
3/25/2024,Prepayment,"$287,312.40 ",1,$0.00 ,,,$0.00 ,0,530243
3/25/2024,Principal Reduction,"$1,111,500.00 ",0,$0.00 ,,,$0.00 ,0,530243
4/25/2024,Prepayment,"$2,268,476.08 ",1,$0.00 ,,,$0.00 ,0,530243
5/25/2024,Prepayment,"$1,593,785.12 ",2,$0.00 ,,,$0.00 ,0,530243
7/25/2024,Prepayment,"$1,682,103.95 ",1,$0.00 ,,,$0.00 ,0,530243
8/25/2024,Prepayment,"$2,299,142.81 ",2,$0.00 ,,,$0.00 ,0,530243
9/25/2024,Prepayment,"$1,834,501.88 ",2,$0.00 ,,,$0.00 ,0,530243
10/25/2024,Prepayment,"$653,667.72 ",1,$0.00 ,,,$0.00 ,0,530243
11/25/2024,Prepayment,"$392,924.61 ",1,$0.00 ,,,$0.00 ,0,530243
2/25/2023,Prepayment,"$437,409.10 ",1,$0.00 ,,,$0.00 ,0,530242
3/25/2023,Prepayment,"$958,003.49 ",1,$0.00 ,,,$0.00 ,0,530242
5/25/2023,Prepayment,"$239,829.91 ",1,$0.00 ,,,$0.00 ,0,530242
7/25/2023,Prepayment,"$1,384,786.91 ",2,$0.00 ,,,$0.00 ,0,530242
9/25/2023,Principal Reduction,"$72,209.13 ",0,$0.00 ,,,$0.00 ,0,530242
11/25/2023,Prepayment,"$276,424.51 ",1,$0.00 ,,,$0.00 ,0,530242
11/25/2023,Principal Reduction,"$53,403.77 ",0,$0.00 ,,,$0.00 ,0,530242
12/25/2023,Prepayment,"$3,865,002.55 ",1,$0.00 ,,,$0.00 ,0,530242
1/25/2024,Prepayment,"$250,183.33 ",1,$0.00 ,,,$0.00 ,0,530242
2/25/2024,Prepayment,"$462,582.21 ",1,$0.00 ,,,$0.00 ,0,530242
3/25/2024,Prepayment,"$367,251.20 ",2,$0.00 ,,,$0.00 ,0,530242
11/25/2024,Prepayment,"$267,661.68 ",1,$0.00 ,,,$0.00 ,0,530242
2/25/2023,Prepayment,"$3,707,872.17 ",1,$0.00 ,,,$0.00 ,0,530265
10/25/2023,Prepayment,"$2,748,991.12 ",3,$0.00 ,,,$0.00 ,0,530265
11/25/2023,Prepayment,"$3,289,044.19 ",1,$0.00 ,,,$0.00 ,0,530265
11/25/2023,Principal Reduction,"$65,507.09 ",0,$0.00 ,,,$0.00 ,0,530265
1/25/2024,Prepayment,"$858,739.66 ",1,$0.00 ,,,$0.00 ,0,530265
2/25/2024,Prepayment,"$3,918,709.59 ",2,$0.00 ,,,$0.00 ,0,530265
3/25/2024,Prepayment,"$424,542.45 ",1,$0.00 ,,,$0.00 ,0,530265
6/25/2024,Principal Reduction,"$535,125.00 ",0,$0.00 ,,,$0.00 ,0,530265
8/25/2024,Prepayment,"$2,116,305.25 ",2,$0.00 ,,,$0.00 ,0,530265
10/25/2024,Prepayment,"$4,913,072.49 ",2,$0.00 ,,,$0.00 ,0,530265
11/25/2024,Prepayment,"$1,128,890.88 ",1,$0.00 ,,,$0.00 ,0,530265
8/25/2023,Prepayment,"$612,316.60 ",1,$0.00 ,,,$0.00 ,0,530293
11/25/2023,Principal Reduction,"$995,349.98 ",0,$0.00 ,,,$0.00 ,0,530293
12/25/2023,Prepayment,"$5,685,095.66 ",2,$0.00 ,,,$0.00 ,0,530293
