SBA Loan Number,Maturity Date,Net Rate,Originator Rate,Outstanding Balance,Pool Number,holder
5323589102,09/21/2033,8.95000,3.15500,"$121,958.67",530500,"BMO CAPITAL MARKETS CORP., "
5323889109,09/13/2033,8.95000,2.15500,"$81,386.69",530500,"BMO CAPITAL MARKETS CORP., "
5323969109,09/08/2033,8.95000,3.15500,"$118,414.41",530500,"BMO CAPITAL MARKETS CORP., "
5324009105,09/11/2033,8.95000,3.15500,"$111,925.65",530500,"BMO CAPITAL MARKETS CORP., "
5324049106,09/11/2033,8.95000,3.15500,"$122,546.36",530500,"BMO CAPITAL MARKETS CORP., "
5324119103,09/13/2033,8.95000,3.15500,"$34,300.48",530500,"BMO CAPITAL MARKETS CORP., "
5324399106,09/13/2033,8.95000,2.15500,"$121,871.98",530500,"BMO CAPITAL MARKETS CORP., "
5324479106,09/11/2033,8.95000,3.15500,"$122,591.04",530500,"BMO CAPITAL MARKETS CORP., "
5325099101,09/11/2033,8.95000,3.15500,"$122,463.40",530500,"BMO CAPITAL MARKETS CORP., "
5325339101,09/11/2033,8.95000,3.15500,"$45,585.53",530500,"BMO CAPITAL MARKETS CORP., "
5325519107,09/11/2033,8.95000,3.15500,"$80,430.96",530500,"BMO CAPITAL MARKETS CORP., "
5325599109,09/12/2033,8.95000,3.15500,"$122,530.36",530500,"BMO CAPITAL MARKETS CORP., "
5328579109,09/11/2033,8.95000,3.15500,"$122,546.36",530500,"BMO CAPITAL MARKETS CORP., "
5328909101,09/12/2033,8.95000,3.15500,"$122,501.71",530500,"BMO CAPITAL MARKETS CORP., "
5329349101,09/11/2033,8.95000,3.15500,"$122,546.36",530500,"BMO CAPITAL MARKETS CORP., "
5329699101,09/13/2033,8.95000,3.15500,"$122,460.09",530500,"BMO CAPITAL MARKETS CORP., "
5330299107,09/25/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5330379107,09/12/2033,8.95000,3.15500,"$81,615.86",530500,"BMO CAPITAL MARKETS CORP., "
5330489105,09/12/2033,8.95000,3.15500,"$72,686.89",530500,"BMO CAPITAL MARKETS CORP., "
5330619107,09/15/2033,8.95000,3.15500,"$75,322.00",530500,"BMO CAPITAL MARKETS CORP., "
5330799104,09/13/2033,8.95000,3.15500,"$82,486.41",530500,"BMO CAPITAL MARKETS CORP., "
5331109109,09/14/2033,8.95000,3.15500,"$83,923.55",530500,"BMO CAPITAL MARKETS CORP., "
5332389103,09/12/2033,8.95000,3.15500,"$60,986.25",530500,"BMO CAPITAL MARKETS CORP., "
5332779102,09/13/2033,8.95000,3.15500,"$116,986.82",530500,"BMO CAPITAL MARKETS CORP., "
5332809109,09/13/2033,8.95000,3.15500,"$55,860.74",530500,"BMO CAPITAL MARKETS CORP., "
5333229103,09/14/2033,8.95000,2.15500,"$116,912.80",530500,"BMO CAPITAL MARKETS CORP., "
5333389105,09/13/2033,8.95000,3.15500,"$102,084.73",530500,"BMO CAPITAL MARKETS CORP., "
5334199109,09/12/2033,8.95000,3.15500,"$105,351.44",530500,"BMO CAPITAL MARKETS CORP., "
5334219102,09/13/2033,8.95000,3.15500,"$122,456.54",530500,"BMO CAPITAL MARKETS CORP., "
5334609101,09/27/2033,8.95000,3.15500,"$87,292.20",530500,"BMO CAPITAL MARKETS CORP., "
5334889104,09/22/2033,8.95000,3.15500,"$123,210.78",530500,"BMO CAPITAL MARKETS CORP., "
5335689105,09/18/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5336969108,09/13/2033,8.95000,3.15500,"$122,456.54",530500,"BMO CAPITAL MARKETS CORP., "
5337449107,09/13/2033,8.95000,3.15500,"$122,456.53",530500,"BMO CAPITAL MARKETS CORP., "
5337639105,09/14/2033,8.95000,3.15500,"$65,213.83",530500,"BMO CAPITAL MARKETS CORP., "
5337669103,09/18/2033,8.95000,3.15500,"$114,896.97",530500,"BMO CAPITAL MARKETS CORP., "
5338059110,09/14/2033,8.95000,3.15500,"$115,757.72",530500,"BMO CAPITAL MARKETS CORP., "
5338259100,09/14/2033,8.95000,3.15500,"$122,275.97",530500,"BMO CAPITAL MARKETS CORP., "
5338629104,09/14/2033,8.95000,3.15500,"$51,431.72",530500,"BMO CAPITAL MARKETS CORP., "
5338849100,09/14/2033,8.95000,3.15500,"$122,456.54",530500,"BMO CAPITAL MARKETS CORP., "
5339529100,09/13/2033,8.95000,3.15500,"$123,096.60",530500,"BMO CAPITAL MARKETS CORP., "
5339769102,09/14/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5340549103,09/25/2033,8.95000,2.15500,"$121,536.71",530500,"BMO CAPITAL MARKETS CORP., "
5342169100,09/18/2033,8.95000,3.15500,"$122,275.98",530500,"BMO CAPITAL MARKETS CORP., "
5342369101,09/15/2033,8.95000,2.15500,"$92,717.52",530500,"BMO CAPITAL MARKETS CORP., "
5342639110,09/14/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5342909108,09/14/2033,8.95000,3.15500,"$122,411.29",530500,"BMO CAPITAL MARKETS CORP., "
5342969104,09/14/2033,8.95000,3.15500,"$101,193.42",530500,"BMO CAPITAL MARKETS CORP., "
5343209101,09/18/2033,8.95000,2.15500,"$121,871.98",530500,"BMO CAPITAL MARKETS CORP., "
5343319110,09/15/2033,8.95000,3.15500,"$60,799.54",530500,"BMO CAPITAL MARKETS CORP., "
5343469109,09/18/2033,8.95000,3.15500,"$55,431.79",530500,"BMO CAPITAL MARKETS CORP., "
5343489104,09/14/2033,8.95000,3.15500,"$107,722.04",530500,"BMO CAPITAL MARKETS CORP., "
5343629109,09/15/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5343779108,09/18/2033,8.95000,3.15500,"$122,290.15",530500,"BMO CAPITAL MARKETS CORP., "
5343889106,09/14/2033,8.95000,3.15500,"$122,189.76",530500,"BMO CAPITAL MARKETS CORP., "
5343939108,09/14/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5344119100,09/15/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5344389100,09/15/2033,8.95000,3.15500,"$122,275.97",530500,"BMO CAPITAL MARKETS CORP., "
5344579109,09/19/2033,8.95000,3.15500,"$40,832.57",530500,"BMO CAPITAL MARKETS CORP., "
5344739109,09/15/2033,8.95000,3.15500,"$105,568.44",530500,"BMO CAPITAL MARKETS CORP., "
5346449109,09/15/2033,8.95000,3.15500,"$123,026.69",530500,"BMO CAPITAL MARKETS CORP., "
5346529109,09/15/2033,8.95000,3.15500,"$84,815.47",530500,"BMO CAPITAL MARKETS CORP., "
5346539101,09/15/2033,8.95000,3.15500,"$122,275.97",530500,"BMO CAPITAL MARKETS CORP., "
5346599108,09/15/2033,8.95000,3.15500,"$122,411.43",530500,"BMO CAPITAL MARKETS CORP., "
5346889101,09/15/2033,8.95000,3.15500,"$122,275.97",530500,"BMO CAPITAL MARKETS CORP., "
5347399109,09/21/2033,8.95000,3.15500,"$122,095.40",530500,"BMO CAPITAL MARKETS CORP., "
5347619103,09/19/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5347759110,09/15/2033,8.95000,3.15500,"$122,275.97",530500,"BMO CAPITAL MARKETS CORP., "
5348169101,09/18/2038,8.95000,3.15500,"$123,347.45",530500,"BMO CAPITAL MARKETS CORP., "
5348179104,09/20/2033,8.95000,3.15500,"$122,185.70",530500,"BMO CAPITAL MARKETS CORP., "
5348689104,09/18/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5351409102,09/19/2033,8.95000,3.15500,"$65,165.70",530500,"BMO CAPITAL MARKETS CORP., "
5351859108,09/18/2033,8.95000,3.15500,"$122,275.98",530500,"BMO CAPITAL MARKETS CORP., "
5351879103,09/19/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5351899109,09/18/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5352479103,09/19/2033,8.95000,3.15500,"$99,473.84",530500,"BMO CAPITAL MARKETS CORP., "
5352729106,09/18/2033,8.95000,3.15500,"$87,908.69",530500,"BMO CAPITAL MARKETS CORP., "
5353659100,09/18/2033,8.95000,2.15500,"$24,315.74",530500,"BMO CAPITAL MARKETS CORP., "
5354169108,09/20/2033,8.95000,3.15500,"$122,140.50",530500,"BMO CAPITAL MARKETS CORP., "
5355059101,09/22/2033,8.95000,3.15500,"$65,044.64",530500,"BMO CAPITAL MARKETS CORP., "
5355069104,09/19/2033,8.95000,3.15500,"$122,140.50",530500,"BMO CAPITAL MARKETS CORP., "
5355089110,09/20/2033,8.95000,3.15500,"$110,252.18",530500,"BMO CAPITAL MARKETS CORP., "
5355939105,09/19/2033,8.95000,3.15500,"$122,230.83",530500,"BMO CAPITAL MARKETS CORP., "
5357349109,09/28/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5357359101,09/20/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5357579108,09/25/2033,8.95000,2.15500,"$123,826.95",530500,"BMO CAPITAL MARKETS CORP., "
5357659108,09/21/2033,8.95000,3.15500,"$77,408.50",530500,"BMO CAPITAL MARKETS CORP., "
5357739108,09/25/2033,8.95000,3.15500,"$121,960.37",530500,"BMO CAPITAL MARKETS CORP., "
5358029109,09/20/2033,8.95000,3.15500,"$56,998.91",530500,"BMO CAPITAL MARKETS CORP., "
5358719104,09/25/2033,8.95000,3.15500,"$121,958.66",530500,"BMO CAPITAL MARKETS CORP., "
5358739110,09/26/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5358949103,09/22/2033,8.95000,3.15500,"$122,095.42",530500,"BMO CAPITAL MARKETS CORP., "
5359259110,09/21/2033,8.95000,3.15500,"$122,095.41",530500,"BMO CAPITAL MARKETS CORP., "
5359319104,09/25/2033,8.95000,2.15500,"$109,449.83",530500,"BMO CAPITAL MARKETS CORP., "
5359579101,09/22/2033,8.95000,3.15500,"$122,095.42",530500,"BMO CAPITAL MARKETS CORP., "
5360679104,09/20/2033,8.95000,3.15500,"$41,950.40",530500,"BMO CAPITAL MARKETS CORP., "
5361349101,09/25/2033,8.95000,3.15500,"$113,789.82",530500,"BMO CAPITAL MARKETS CORP., "
5361399105,09/22/2033,8.95000,3.15500,"$122,095.41",530500,"BMO CAPITAL MARKETS CORP., "
5361729108,09/20/2033,8.95000,3.15500,"$48,838.14",530500,"BMO CAPITAL MARKETS CORP., "
5362159105,09/22/2033,8.95000,3.15500,"$40,815.48",530500,"BMO CAPITAL MARKETS CORP., "
5362319105,09/21/2033,8.95000,3.15500,"$121,958.67",530500,"BMO CAPITAL MARKETS CORP., "
5362389104,09/22/2033,8.95000,3.15500,"$89,576.27",530500,"BMO CAPITAL MARKETS CORP., "
5362469104,09/21/2033,8.95000,3.15500,"$122,095.41",530500,"BMO CAPITAL MARKETS CORP., "
5362969101,09/20/2033,8.95000,2.15500,"$121,589.11",530500,"BMO CAPITAL MARKETS CORP., "
5363009108,09/21/2033,8.95000,3.15500,"$122,095.41",530500,"BMO CAPITAL MARKETS CORP., "
