pairs
"('BMO CAPITAL MARKETS CORP.', '530500')"
"('BMO CAPITAL MARKETS CORP.', '530513')"
"('BREAN CAPITAL, LLC', '530504')"
"('BREAN CAPITAL, LLC', '530508')"
"('BREAN CAPITAL, LLC', '530507')"
"('CANTOR FITZGERALD & CO.', '530512')"
"('FHN FINANCIAL CAPITAL MARKETS', '530503')"
"('FHN FINANCIAL CAPITAL MARKETS', '530497')"
"('FHN FINANCIAL CAPITAL MARKETS', '530496')"
"('RAYMOND JAMES BANK, N.A.', '530506')"
"('RAYMOND JAMES BANK, N.A.', '530505')"
"('RAYMOND JAMES BANK, N.A.', '530501')"
"('RAYMOND JAMES BANK, N.A.', '530502')"
"('RAYMOND JAMES BANK, N.A.', '530499')"
"('RAYMOND JAMES BANK, N.A.', '530511')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530498')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530510')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530509')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540117')"
"('FHN FINANCIAL CAPITAL MARKETS', '130610')"
"('20', '')"
"('BMO CAPITAL MARKETS CORP.', '530530')"
"('BREAN CAPITAL, LLC', '530524')"
"('BREAN CAPITAL, LLC', '530526')"
"('BREAN CAPITAL, LLC', '530528')"
"('BREAN CAPITAL, LLC', '530523')"
"('BREAN CAPITAL, LLC', '530522')"
"('FHN FINANCIAL CAPITAL MARKETS', '530515')"
"('FHN FINANCIAL CAPITAL MARKETS', '530520')"
"('FHN FINANCIAL CAPITAL MARKETS', '530527')"
"('FHN FINANCIAL CAPITAL MARKETS', '530531')"
"('RAYMOND JAMES BANK, N.A.', '530514')"
"('RAYMOND JAMES BANK, N.A.', '530518')"
"('RAYMOND JAMES BANK, N.A.', '530517')"
"('RAYMOND JAMES BANK, N.A.', '530521')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530516')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530519')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530525')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '530529')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540118')"
"('WELLS FARGO SECURITIES, LLC', '540119')"
"('20', '')"
"('BMO CAPITAL MARKETS CORP.', '530539')"
"('BMO CAPITAL MARKETS CORP.', '530546')"
"('BREAN CAPITAL, LLC', '530540')"
"('BREAN CAPITAL, LLC', '530541')"
"('BREAN CAPITAL, LLC', '530542')"
"('CANTOR FITZGERALD & CO.', '530544')"
"('FHN FINANCIAL CAPITAL MARKETS', '530543')"
"('FHN FINANCIAL CAPITAL MARKETS', '530545')"
"('RAYMOND JAMES BANK, N.A.', '530536')"
"('RAYMOND JAMES BANK, N.A.', '530537')"
"('RAYMOND JAMES BANK, N.A.', '530532')"
"('RAYMOND JAMES BANK, N.A.', '530535')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530533')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530534')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530538')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540121')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540120')"
"('17', '')"
"('BMO CAPITAL MARKETS CORP.', '530557')"
"('BMO CAPITAL MARKETS CORP.', '530561')"
"('BREAN CAPITAL, LLC', '530559')"
"('BREAN CAPITAL, LLC', '530560')"
"('CANTOR FITZGERALD & CO.', '530547')"
"('FHN FINANCIAL CAPITAL MARKETS', '530552')"
"('FHN FINANCIAL CAPITAL MARKETS', '530555')"
"('FHN FINANCIAL CAPITAL MARKETS', '530556')"
"('FHN FINANCIAL CAPITAL MARKETS', '530554')"
"('RAYMOND JAMES BANK, N.A.', '530550')"
"('RAYMOND JAMES BANK, N.A.', '530551')"
"('RAYMOND JAMES BANK, N.A.', '530553')"
"('RAYMOND JAMES BANK, N.A.', '530558')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530548')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530549')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540123')"
"('WELLS FARGO SECURITIES, LLC', '540122')"
"('FHN FINANCIAL CAPITAL MARKETS', '130611')"
"('18', '')"
"('BMO CAPITAL MARKETS CORP.', '530576')"
"('BREAN CAPITAL, LLC', '530573')"
"('BREAN CAPITAL, LLC', '530571')"
"('BREAN CAPITAL, LLC', '530574')"
"('CANTOR FITZGERALD & CO.', '530575')"
"('FHN FINANCIAL CAPITAL MARKETS', '530570')"
"('FHN FINANCIAL CAPITAL MARKETS', '530572')"
"('MOMENTUS SECURITIES LLC', '530566')"
"('RAYMOND JAMES BANK, N.A.', '530562')"
"('RAYMOND JAMES BANK, N.A.', '530563')"
"('RAYMOND JAMES BANK, N.A.', '530567')"
"('RAYMOND JAMES BANK, N.A.', '530565')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530564')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530568')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530569')"
"('MOMENTUS SECURITIES LLC', '130612')"
"('16', '')"
"('BMO CAPITAL MARKETS CORP.', '530585')"
"('BREAN CAPITAL, LLC', '530591')"
"('BREAN CAPITAL, LLC', '530592')"
"('BREAN CAPITAL, LLC', '530589')"
"('BREAN CAPITAL, LLC', '530590')"
"('BREAN CAPITAL, LLC', '530588')"
"('FHN FINANCIAL CAPITAL MARKETS', '530587')"
"('FHN FINANCIAL CAPITAL MARKETS', '530586')"
"('RAYMOND JAMES BANK, N.A.', '530581')"
"('RAYMOND JAMES BANK, N.A.', '530580')"
"('RAYMOND JAMES BANK, N.A.', '530579')"
"('RAYMOND JAMES BANK, N.A.', '530577')"
"('RAYMOND JAMES BANK, N.A.', '530578')"
"('RAYMOND JAMES BANK, N.A.', '530583')"
"('RAYMOND JAMES BANK, N.A.', '530584')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530582')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530593')"
"('17', '')"
"('BMO CAPITAL MARKETS CORP.', '530613')"
"('BMO CAPITAL MARKETS CORP.', '540124')"
"('BREAN CAPITAL, LLC', '530611')"
"('BREAN CAPITAL, LLC', '530612')"
"('BREAN CAPITAL, LLC', '530609')"
"('BREAN CAPITAL, LLC', '530608')"
"('CANTOR FITZGERALD & CO.', '530606')"
"('FHN FINANCIAL CAPITAL MARKETS', '530599')"
"('FHN FINANCIAL CAPITAL MARKETS', '530607')"
"('FHN FINANCIAL CAPITAL MARKETS', '530610')"
"('MOMENTUS SECURITIES LLC', '530597')"
"('MOMENTUS SECURITIES LLC', '530594')"
"('RAYMOND JAMES BANK, N.A.', '530598')"
"('RAYMOND JAMES BANK, N.A.', '530596')"
"('RAYMOND JAMES BANK, N.A.', '530602')"
"('RAYMOND JAMES BANK, N.A.', '530603')"
"('RAYMOND JAMES BANK, N.A.', '530605')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530595')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530600')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530601')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530604')"
"('21', '')"
"('BMO CAPITAL MARKETS CORP.', '540125')"
"('BREAN CAPITAL, LLC', '530632')"
"('BREAN CAPITAL, LLC', '530634')"
"('BREAN CAPITAL, LLC', '530631')"
"('CANTOR FITZGERALD & CO.', '530621')"
"('FHN FINANCIAL CAPITAL MARKETS', '530614')"
"('FHN FINANCIAL CAPITAL MARKETS', '530628')"
"('FHN FINANCIAL CAPITAL MARKETS', '530629')"
"('FHN FINANCIAL CAPITAL MARKETS', '530633')"
"('MOMENTUS SECURITIES LLC', '530627')"
"('MOMENTUS SECURITIES LLC', '530626')"
"('MOMENTUS SECURITIES LLC', '530625')"
"('MOMENTUS SECURITIES LLC', '530624')"
"('RAYMOND JAMES BANK, N.A.', '530622')"
"('RAYMOND JAMES BANK, N.A.', '530616')"
"('RAYMOND JAMES BANK, N.A.', '530617')"
"('RAYMOND JAMES BANK, N.A.', '530615')"
"('RAYMOND JAMES BANK, N.A.', '530620')"
"('RAYMOND JAMES BANK, N.A.', '530619')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530618')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530623')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530630')"
"('STONEWALL INVESTMENTS TENNESSEE INC.', '540126')"
"('23', '')"
"('BMO CAPITAL MARKETS CORP.', '530639')"
"('BMO CAPITAL MARKETS CORP.', '540127')"
"('BREAN CAPITAL, LLC', '530649')"
"('BREAN CAPITAL, LLC', '530650')"
"('BREAN CAPITAL, LLC', '530651')"
"('BREAN CAPITAL, LLC', '530652')"
"('BREAN CAPITAL, LLC', '530653')"
"('CANTOR FITZGERALD & CO.', '530654')"
"('FHN FINANCIAL CAPITAL MARKETS', '530640')"
"('RAYMOND JAMES BANK, N.A.', '530635')"
"('RAYMOND JAMES BANK, N.A.', '530636')"
"('RAYMOND JAMES BANK, N.A.', '530637')"
"('RAYMOND JAMES BANK, N.A.', '530641')"
"('RAYMOND JAMES BANK, N.A.', '530642')"
"('RAYMOND JAMES BANK, N.A.', '530643')"
"('SOUTHSTATE BANK N.A.', '530646')"
"('SOUTHSTATE BANK N.A.', '530644')"
"('SOUTHSTATE BANK N.A.', '530648')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530638')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530645')"
"('STIFEL NICOLAUS & COMPANY, INC.', '530647')"
"('StoneX Financial Inc.', '530655')"
"('WELLS FARGO SECURITIES, LLC', '540128')"
"('23', '')"
"('175', '15309')"
